name,totalCommits,reachableCommits,mainBranchReachableCommits,mergeCommits,filesInTree,uniqueAuthorsInRepo,avgFullHistoryLength,avgLinearHistoryLength,filesWithDifferentHistories,avgFullHistoryLengthForFilesWithDifferentHistories,avgLinearHistoryLengthForFilesWithDifferentHistories,avgAuthorsPerFileFullHistory,avgAuthorsPerFileLinearHistory,avgAuthorsPerFileFullHistoryForFilesWithDifference,avgAuthorsPerFileLinearHistoryForFilesWithDifference
sumarsky/OPEN,707,707,127,219,233,23,6.1072961373390555,1.463519313304721,123,10.544715447154472,1.7479674796747968,2.236051502145923,1.1716738197424892,3.317073170731707,1.3008130081300813
jokerdevv/Joker_Developer,305,196,87,54,35,19,6.885714285714286,3.2285714285714286,15,14.533333333333333,6.0,2.2285714285714286,1.6,3.8,2.3333333333333335
watson-developer-cloud/node-red-labs,985,985,389,190,756,32,2.812169312169312,1.3981481481481481,278,5.636690647482014,1.79136690647482,1.7989417989417988,1.1984126984126984,2.9748201438848922,1.341726618705036
jeromedecoster/mai1,10,10,6,2,3,3,1.0,1.0,0,0.0,0.0,1.0,1.0,NaN,NaN
cybercode/dockit,89,89,83,2,28,2,6.214285714285714,5.964285714285714,2,35.0,31.5,1.3214285714285714,1.3214285714285714,2.0,2.0
TeXitoi/pitch-day-apihm,34,34,28,3,24,3,2.2083333333333335,1.9583333333333333,1,30.0,24.0,1.0833333333333333,1.0416666666666667,3.0,2.0
dalekjs/dalekjs.com,599,598,467,34,280,17,3.642857142857143,3.192857142857143,28,22.285714285714285,17.785714285714285,1.1571428571428573,1.1,2.1785714285714284,1.6071428571428572
lge88/knn-bf-multi-thread,12,12,12,0,10,2,3.1,3.1,0,0.0,0.0,1.6,1.6,NaN,NaN
halfbakedbits/AutoMapper.EF6.Extended,9,9,9,0,40,1,1.575,1.575,0,0.0,0.0,1.0,1.0,NaN,NaN
arizonat/CIS565-FinalProject,72,72,50,5,310,1,1.3451612903225807,1.2741935483870968,2,14.5,3.5,1.0,1.0,1.0,1.0
lovelandnoah/toDo,6,6,6,0,79,1,1.2278481012658229,1.2278481012658229,0,0.0,0.0,1.0,1.0,NaN,NaN
Milt0n/WHOVisualization,33,33,33,0,61,1,1.7704918032786885,1.7704918032786885,0,0.0,0.0,1.0,1.0,NaN,NaN
abjectio/wp-labora-py,53,53,52,1,11,2,6.2727272727272725,6.2727272727272725,0,0.0,0.0,1.0909090909090908,1.0909090909090908,NaN,NaN
citmp2015/flink-visual-programming,558,552,87,156,217,17,5.138248847926267,2.0046082949308754,81,10.37037037037037,1.9753086419753085,1.8894009216589862,1.2580645161290323,2.8271604938271606,1.1358024691358024
mozillazg/python-pinyin,506,503,175,103,85,11,9.91764705882353,3.4941176470588236,46,17.391304347826086,5.521739130434782,1.7647058823529411,1.2823529411764707,2.4130434782608696,1.5217391304347827
nafSadh/bnXlit,19,19,19,0,7,1,4.571428571428571,4.571428571428571,0,0.0,0.0,1.0,1.0,NaN,NaN
rishabh-tripathi/SnakeWar-j2me-game,3,3,3,0,162,1,1.0,1.0,0,0.0,0.0,1.0,1.0,NaN,NaN
DanielBonnery/SweaveLst,38,38,36,2,41,2,2.0,1.975609756097561,1,2.0,1.0,1.024390243902439,1.024390243902439,1.0,1.0
EnsemblGenomes/eg-web-vectorbase,458,431,375,32,471,10,2.8067940552016983,2.6220806794055203,42,15.69047619047619,13.619047619047619,1.1592356687898089,1.0743099787685775,2.4047619047619047,1.4523809523809523
gmoomau/rekrvn,241,241,173,20,36,6,7.888888888888889,6.277777777777778,8,19.25,12.0,1.6111111111111112,1.5,2.375,1.875
ivan-korobkov/pdef,702,702,698,1,107,1,6.214953271028038,6.205607476635514,1,106.0,105.0,1.0,1.0,1.0,1.0
EdBuild/Maps,17,16,16,0,5820,4,1.0053264604810996,1.0053264604810996,0,0.0,0.0,1.0005154639175258,1.0005154639175258,NaN,NaN
geekplux/Icons-Redesign,14,13,13,0,23,1,1.391304347826087,1.391304347826087,0,0.0,0.0,1.0,1.0,NaN,NaN
