name,nReviews,nDiffReviews,mrrL,mrrF,top1L,top1F,top2L,top2F,top3L,top3F,top5L,top5F,top10L,top10F,cprL,cprF,diff_mrrL,diff_mrrF,diff_top1L,diff_top1F,diff_top2L,diff_top2F,diff_top3L,diff_top3F,diff_top5L,diff_top5F,diff_top10L,diff_top10F,diff_cprL,diff_cprF
openstack/devstack-plugin-ceph,25,25,0.38949999999999996,0.38861111111111113,0.21133333333333332,0.21133333333333332,0.39799999999999996,0.39266666666666666,0.4993333333333333,0.534,0.7006666666666667,0.7006666666666667,0.714,0.714,18.44,29.92,0.38949999999999996,0.38861111111111113,0.21133333333333332,0.21133333333333332,0.39799999999999996,0.39266666666666666,0.4993333333333333,0.534,0.7006666666666667,0.7006666666666667,0.714,0.714,18.44,29.92
openstack/castellan,89,81,0.16159922578461902,0.14418098720533173,0.04148317350564541,0.03559767323812268,0.1948807122964426,0.13089819044875228,0.2808179336269225,0.2196889876665157,0.3356772441042104,0.3093619239686655,0.3519693789356711,0.3795146177168649,21.43820224719101,31.8876404494382,0.1683003838868036,0.14916182544783363,0.04249385730867212,0.0360270730641101,0.1986960912886839,0.12839430802393767,0.2931209394172357,0.22595456669530742,0.35339845339845344,0.32448408929890404,0.37129968796635465,0.40156544415803674,23.296296296296298,34.77777777777778
openstack/murano,251,241,0.13554621764271185,0.13593366974363508,0.07982356289129197,0.04631948396888637,0.1379908935685828,0.1272291785239992,0.1624707519129831,0.17504901030797443,0.20043002592803405,0.21646588250173912,0.2745162208309619,0.3254837791690382,36.462151394422314,92.10756972111554,0.14057777379860387,0.14098130275018783,0.08254297569650267,0.04764868603042877,0.14312388855957317,0.1319156293222683,0.1686195086610026,0.1817196864914707,0.20815385628663655,0.22485510109991444,0.28531416716064023,0.33839656194427986,37.850622406639005,95.80497925311204
openstack/monasca-common,58,50,0.1886188125412263,0.1796594165899973,0.040291461412151064,0.03109605911330049,0.2307129173508484,0.16893130815544607,0.368643951833607,0.34278188286808975,0.39217980295566507,0.39888478379857695,0.4039614121510673,0.4585591133004926,13.60344827586207,18.32758620689655,0.19046448921448922,0.18090492324439691,0.0284047619047619,0.017738095238095237,0.2292936507936508,0.16262698412698412,0.38929365079365075,0.3592936507936508,0.41659523809523813,0.42437301587301585,0.4302619047619048,0.4935952380952381,15.14,20.62
openstack/puppet-watcher,87,56,0.16309067688378026,0.16634738186462317,0.09003831417624521,0.08333333333333333,0.16666666666666666,0.16283524904214558,0.2547892720306513,0.2796934865900383,0.27777777777777773,0.29310344827586204,0.27777777777777773,0.2988505747126437,6.471264367816092,8.022988505747126,0.19310515873015865,0.19518849206349195,0.1130952380952381,0.10267857142857142,0.1994047619047619,0.17261904761904762,0.2916666666666667,0.3363095238095238,0.31845238095238093,0.34226190476190477,0.31845238095238093,0.3511904761904762,8.303571428571429,10.714285714285714
openstack/charm-openstack-dashboard,57,52,0.11747917948105914,0.16410434351223818,0.060526315789473685,0.07838345864661656,0.0801169590643275,0.15586883876357563,0.1282163742690058,0.19154135338345868,0.23220551378446116,0.2551587301587302,0.2705513784461153,0.38005430242272353,23.94736842105263,83.85964912280701,0.12236499802090459,0.17347335090123545,0.05993589743589744,0.07951007326007326,0.08141025641025643,0.16444597069597072,0.13413461538461535,0.20354853479853485,0.24812271062271066,0.27328296703296706,0.2901556776556777,0.410187728937729,25.96153846153846,91.63461538461539
openstack/python-muranoclient,79,74,0.055205402642732,0.06736619661431083,0.016877637130801686,0.02109704641350211,0.03481012658227848,0.029957805907172997,0.060900140646976096,0.07531645569620252,0.06933895921237694,0.12454289732770744,0.18755274261603383,0.22341772151898742,40.35443037974684,65.89873417721519,0.05893549741588957,0.07191796665581832,0.018018018018018018,0.02252252252252252,0.037162162162162164,0.03198198198198198,0.06501501501501503,0.08040540540540539,0.07402402402402403,0.13295795795795795,0.2002252252252253,0.2385135135135136,42.86486486486486,70.13513513513513
openstack/oslo.context,50,42,0.1201370198429022,0.0807885609340155,0.05915151515151515,0.010666666666666666,0.13330303030303028,0.07915151515151515,0.15012121212121213,0.10415151515151516,0.2219393939393939,0.2017878787878788,0.23375757575757575,0.23193939393939392,19.8,28.28,0.1430202617177407,0.09617685825478035,0.07041847041847042,0.012698412698412698,0.15869408369408367,0.09422799422799424,0.17871572871572872,0.123989898989899,0.2642135642135642,0.24022366522366523,0.2782828282828283,0.2761183261183261,22.80952380952381,32.904761904761905
openstack/kolla-ansible,1330,1312,0.07529229207084268,0.09996973706405049,0.057636989820546505,0.03935502741992657,0.07402463934729374,0.0728149108825743,0.08579205179238718,0.10500900199187294,0.10149679995557598,0.17355289719334988,0.11191655294258629,0.2575103574015876,10.510526315789473,74.52255639097744,0.0756075318502699,0.10062353935100644,0.05771000746544221,0.03917722545871622,0.07432248754972105,0.0730961622005771,0.08625134315335997,0.10573194053546064,0.10217155280049496,0.1752162245430554,0.11273425971568074,0.2603255401504916,10.614329268292684,75.5045731707317
openstack/instack-undercloud,399,384,0.19296930872509704,0.19132708477086205,0.10871393991694747,0.08427815570672711,0.15502683754563465,0.15104198224498988,0.20602521260416007,0.20394277819089862,0.2827667459246407,0.2820603860077543,0.40275758076509954,0.5026673827425705,58.34335839598997,203.64661654135338,0.19009050568050453,0.18838413235305718,0.10449703652828657,0.07910672949735446,0.14871278172059432,0.1445722680097681,0.20170328080484337,0.1995395012973139,0.2814425302706553,0.2807085781695155,0.40612050709706954,0.5099330357142855,60.536458333333336,211.515625
