name,totalCommits,reachableCommits,mainBranchReachableCommits,mergeCommits,filesInTree,uniqueAuthorsInRepo,avgFullHistoryLength,avgLinearHistoryLength,filesWithDifferentHistories,avgFullHistoryLengthForFilesWithDifferentHistories,avgLinearHistoryLengthForFilesWithDifferentHistories,avgAuthorsPerFileFullHistory,avgAuthorsPerFileLinearHistory,avgAuthorsPerFileFullHistoryForFilesWithDifference,avgAuthorsPerFileLinearHistoryForFilesWithDifference
openstack/openstack-ansible-os_rally,339,188,157,31,53,33,5.716981132075472,4.69811320754717,26,9.615384615384615,7.538461538461538,2.9056603773584904,2.641509433962264,4.269230769230769,3.730769230769231
openstack/puppet-modulesync-configs,122,61,50,11,31,19,2.838709677419355,2.2580645161290325,12,4.25,2.75,2.193548387096774,1.935483870967742,3.0833333333333335,2.4166666666666665
openstack/devstack-plugin-ceph,333,110,82,28,11,36,9.636363636363637,6.636363636363637,7,14.285714285714286,9.571428571428571,5.090909090909091,4.181818181818182,7.142857142857143,5.714285714285714
openstack/murano,11671,3875,2124,1537,1042,258,6.305182341650672,1.7984644913627639,683,9.033674963396779,2.158125915080527,3.4942418426103647,1.4452975047984644,4.765739385065886,1.6398243045387995
openstack/networking-bgpvpn,2448,751,494,257,252,91,4.813492063492063,2.7261904761904763,100,10.09,4.83,2.4126984126984126,1.7738095238095237,4.3,2.69
openstack/senlin,11315,7168,4408,2674,824,166,12.71116504854369,4.473300970873787,464,21.63362068965517,7.004310344827586,3.450242718446602,1.8118932038834952,5.269396551724138,2.3599137931034484
openstack/puppet-octavia,341,170,134,36,107,32,3.0934579439252334,2.616822429906542,26,8.23076923076923,6.269230769230769,1.9626168224299065,1.8224299065420562,3.923076923076923,3.3461538461538463
openstack/charm-keystone,2379,1212,354,252,353,66,11.637393767705383,3.0623229461756374,221,17.63348416289593,3.936651583710407,4.138810198300283,2.045325779036827,5.773755656108597,2.429864253393665
openstack/browbeat,3851,1181,806,348,625,40,3.96,2.432,242,8.264462809917354,4.318181818181818,1.7312,1.4096,2.731404958677686,1.9008264462809918
openstack/glance_store,2339,713,478,235,104,154,10.663461538461538,5.951923076923077,56,18.464285714285715,9.714285714285714,5.336538461538462,2.7211538461538463,8.964285714285714,4.107142857142857
openstack/charm-nova-cloud-controller,1668,1379,356,284,278,54,11.133093525179856,3.629496402877698,134,21.37313432835821,5.8059701492537314,3.464028776978417,2.1690647482014387,5.656716417910448,2.970149253731343
openstack/api-site,9372,4858,3032,1993,128,400,8.171875,4.5625,80,11.875,6.1,3.78125,1.890625,5.425,2.4
openstack/os-brick,2048,627,393,234,168,154,5.875,3.3095238095238093,71,11.67605633802817,5.605633802816901,3.5833333333333335,2.3095238095238093,6.52112676056338,3.507042253521127
openstack/sahara,16448,6156,3489,2618,1530,327,5.124836601307189,1.6333333333333333,705,9.88368794326241,2.3063829787234043,3.0359477124183005,1.3326797385620914,5.370212765957447,1.673758865248227
